JOBID PARTITION NAME USER STATE TIME TIME_LIMIT NODES NODELIST(REASON) PRIORITY
6633763 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633762 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA3.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633761 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA2.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633760 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA2.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633759 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA2.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633758 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633757 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633756 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633755 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-AlphaFold2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633754 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633753 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633752 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633751 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633750 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633749 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA15.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633748 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA14.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633747 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA13.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633746 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA13.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633745 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA11.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633744 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA11.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633743 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA10.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633742 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA9.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633741 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA8.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633740 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA7.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633739 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA6.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
